generator,Capacity_MW
cats_128,42.4
cats_129,40.3
cats_130,9.1
cats_131,40.7
cats_132,5.2
cats_133,10.5
cats_134,2.5
cats_135,90.8
cats_136,42.4
cats_137,40.0
cats_138,40.0
cats_139,33.5
cats_140,49.5
cats_141,34.9
cats_142,34.9
cats_143,23.1
cats_144,13.1
cats_145,16.5
cats_146,16.5
cats_147,75.0
cats_148,75.0
cats_149,75.0
cats_150,75.0
cats_151,6.0
cats_152,46.0
cats_153,46.0
cats_154,1.7
cats_155,2.1
cats_156,48.5
cats_157,2.8
cats_158,2.8
cats_159,46.0
cats_160,5.1
cats_161,5.1
cats_162,4.1
cats_163,4.4
cats_164,48.2
cats_165,75.0
cats_166,75.0
cats_167,75.0
cats_168,75.0
cats_169,38.7
cats_170,2.8
cats_171,3.3
cats_172,82.0
cats_173,82.0
cats_174,82.0
cats_175,82.0
cats_176,38.5
cats_177,38.5
cats_178,49.5
cats_179,19.2
cats_180,49.5
cats_181,24.9
cats_182,24.9
cats_183,24.9
cats_184,24.9
cats_185,24.9
cats_186,24.9
cats_187,6.0
cats_188,82.3
cats_189,13.6
cats_190,11.5
cats_191,1.2
cats_192,46.0
cats_193,8.8
cats_194,8.8
cats_195,1.2
cats_196,24.4
cats_197,7.6
cats_198,3.4
cats_199,3.4
cats_200,24.0
cats_201,31.4
cats_202,31.4
cats_203,31.4
cats_204,23.0
cats_205,5.5
cats_206,23.5
cats_207,7.3
cats_208,23.5
cats_209,7.6
cats_210,38.9
cats_211,5.3
cats_212,1.0
cats_213,0.4
cats_214,1.4
cats_215,14.5
cats_216,14.5
cats_217,14.0
cats_218,6.0
cats_219,6.0
cats_220,3.5
cats_221,3.5
cats_222,3.4
cats_223,3.4
cats_224,3.4
cats_225,3.4
cats_226,3.1
cats_227,3.1
cats_228,3.1
cats_229,3.1
cats_230,3.4
cats_231,3.4
cats_232,3.4
cats_233,3.4
cats_234,21.4
cats_235,21.4
cats_236,3.1
cats_237,3.1
cats_238,3.1
cats_239,3.1
cats_240,24.4
cats_241,24.4
cats_242,62.6
cats_243,62.6
cats_244,30.4
cats_245,9.2
cats_246,10.0
cats_247,78.0
cats_248,78.0
cats_249,78.0
cats_250,49.9
cats_251,1.5
cats_252,1.0
cats_253,27.7
cats_254,5.0
cats_255,3.0
cats_256,3.0
cats_257,41.2
cats_258,10.2
cats_259,46.0
cats_260,3.5
cats_261,3.5
cats_262,40.0
cats_263,40.0
cats_264,247.4
cats_265,212.0
cats_266,212.0
cats_267,212.0
cats_268,289.0
cats_269,289.0
cats_270,289.0
cats_271,289.0
cats_272,264.0
cats_273,210.6
cats_274,210.6
cats_275,3.2
cats_276,198.9
cats_277,198.9
cats_278,280.5
cats_279,182.0
cats_280,182.0
cats_281,227.0
cats_282,212.0
cats_283,212.0
cats_284,213.5
cats_285,306.0
cats_286,198.9
cats_287,198.9
cats_288,290.7
cats_289,200.0
cats_290,200.0
cats_291,235.0
cats_292,199.0
cats_293,199.0
cats_294,225.0
cats_295,60.5
cats_296,60.5
cats_297,60.5
cats_298,48.7
cats_299,58.9
cats_300,173.0
cats_301,173.0
cats_302,173.0
cats_303,333.0
cats_304,54.0
cats_305,37.2
cats_306,49.9
cats_307,49.9
cats_308,49.9
cats_309,49.9
cats_310,49.9
cats_311,47.0
cats_312,47.0
cats_313,47.0
cats_314,168.0
cats_315,168.0
cats_316,168.0
cats_317,185.0
cats_318,90.0
cats_319,46.1
cats_320,46.1
cats_321,126.1
cats_322,45.0
cats_323,45.0
cats_324,45.0
cats_325,45.0
cats_326,49.0
cats_327,49.0
cats_328,45.0
cats_329,45.0
cats_330,45.0
cats_331,47.3
cats_332,47.3
cats_333,47.0
cats_334,49.9
cats_335,47.0
cats_336,56.7
cats_337,167.3
cats_338,84.4
cats_339,84.4
cats_340,11.2
cats_341,11.2
cats_342,11.2
cats_343,11.2
cats_344,11.2
cats_345,11.2
cats_346,11.2
cats_347,11.2
cats_348,60.5
cats_349,47.0
cats_350,190.0
cats_351,196.8
cats_352,170.0
cats_353,165.0
cats_354,165.0
cats_355,229.0
cats_356,50.0
cats_357,50.0
cats_358,54.0
cats_359,5.9
cats_360,40.0
cats_361,40.0
cats_362,50.0
cats_363,198.9
cats_364,188.7
cats_365,57.4
cats_366,94.9
cats_367,94.9
cats_368,110.8
cats_369,3.5
cats_370,3.5
cats_371,3.5
cats_372,3.5
cats_373,4.0
cats_374,3.7
cats_375,0.3
cats_376,60.5
cats_377,60.5
cats_378,50.0
cats_379,50.0
cats_380,48.0
cats_381,48.0
cats_382,10.0
cats_383,10.0
cats_384,10.0
cats_385,10.0
cats_386,2.9
cats_387,2.9
cats_388,2.9
cats_389,2.9
cats_390,2.9
cats_391,2.9
cats_392,2.9
cats_393,2.9
cats_394,2.9
cats_395,2.9
cats_396,2.9
cats_397,2.9
cats_398,2.9
cats_399,2.9
cats_400,2.9
cats_401,2.9
cats_402,3.1
cats_403,3.1
cats_404,3.1
cats_405,3.1
cats_406,3.1
cats_407,3.1
cats_408,3.1
cats_409,3.1
cats_410,3.1
cats_411,3.1
cats_412,3.1
cats_413,3.1
cats_414,3.1
cats_415,3.1
cats_416,3.1
cats_417,3.1
cats_418,53.0
cats_419,53.0
cats_420,60.5
cats_421,60.5
cats_422,40.0
cats_423,40.0
cats_424,85.0
