scenario,timepoint,site,capacity_factor
1,2035-01-01T00:00:00.000000-0800,pvu1955,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1960,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1969,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1970,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1973,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1979,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1985,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1993,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1998,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2000,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2001,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2004,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2009,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2017,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2020,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2030,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2032,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2042,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2063,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2065,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2068,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2077,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2080,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2084,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2091,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2110,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2113,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2116,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2118,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2126,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2169,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2185,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2186,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2188,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2196,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2199,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2202,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2210,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2235,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2246,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2252,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2253,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2254,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2264,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2267,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2268,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2275,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2276,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2277,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2280,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2283,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2304,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2314,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2315,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2324,0.0
