name,bus_type,kron_removable_bus,base_voltage_kV,base_power_MVA
395,PQ,false,66.0,100.0
396,PQ,false,66.0,100.0
397,PQ,false,66.0,100.0
398,PQ,false,66.0,100.0
399,PQ,false,66.0,100.0
400,PQ,false,66.0,100.0
401,PV,false,66.0,100.0
402,PQ,false,66.0,100.0
403,PQ,false,66.0,100.0
404,PQ,false,66.0,100.0
405,PQ,false,66.0,100.0
406,PQ,false,66.0,100.0
407,PV,false,66.0,100.0
408,PQ,false,66.0,100.0
409,PQ,false,66.0,100.0
410,PQ,false,66.0,100.0
411,PQ,false,66.0,100.0
412,PQ,false,66.0,100.0
413,PV,false,66.0,100.0
414,PQ,false,66.0,100.0
415,PQ,false,66.0,100.0
416,PQ,false,66.0,100.0
417,PQ,false,66.0,100.0
418,PQ,false,66.0,100.0
419,PQ,false,66.0,100.0
420,PV,false,66.0,100.0
421,PQ,false,66.0,100.0
422,PQ,false,66.0,100.0
423,PQ,false,66.0,100.0
424,PQ,false,66.0,100.0
425,PQ,false,66.0,100.0
426,PV,false,66.0,100.0
427,PQ,false,66.0,100.0
428,PQ,false,66.0,100.0
429,PQ,false,66.0,100.0
430,PQ,false,66.0,100.0
431,PQ,false,66.0,100.0
432,PQ,false,66.0,100.0
433,PQ,false,66.0,100.0
434,PQ,false,66.0,100.0
435,PQ,false,66.0,100.0
436,PQ,false,66.0,100.0
437,PQ,false,66.0,100.0
438,PQ,false,66.0,100.0
439,PQ,false,66.0,100.0
440,PQ,false,66.0,100.0
441,PQ,false,66.0,100.0
442,PQ,false,66.0,100.0
443,PQ,false,66.0,100.0
444,PQ,false,230.0,100.0
445,PQ,false,66.0,100.0
446,PV,false,66.0,100.0
447,PQ,false,66.0,100.0
448,PV,false,66.0,100.0
449,PV,false,66.0,100.0
450,PQ,false,66.0,100.0
451,PQ,false,66.0,100.0
452,PV,false,66.0,100.0
453,PQ,false,66.0,100.0
454,PQ,false,66.0,100.0
455,PQ,false,66.0,100.0
456,PV,false,66.0,100.0
457,PQ,false,66.0,100.0
458,PV,false,66.0,100.0
459,PQ,false,66.0,100.0
460,PQ,false,66.0,100.0
461,PV,false,66.0,100.0
462,PQ,false,66.0,100.0
463,PQ,false,66.0,100.0
464,PQ,false,66.0,100.0
465,PV,false,66.0,100.0
466,PQ,false,66.0,100.0
467,PV,false,66.0,100.0
468,PV,false,66.0,100.0
469,PQ,false,66.0,100.0
470,PQ,false,66.0,100.0
471,PV,false,66.0,100.0
472,PQ,false,66.0,100.0
473,PQ,false,66.0,100.0
474,PQ,false,66.0,100.0
475,PV,false,66.0,100.0
476,PQ,false,66.0,100.0
477,PQ,false,66.0,100.0
478,PV,false,66.0,100.0
479,PQ,false,66.0,100.0
480,PQ,false,66.0,100.0
481,PV,false,66.0,100.0
482,PQ,false,66.0,100.0
483,PV,false,66.0,100.0
484,PQ,false,66.0,100.0
485,PQ,false,66.0,100.0
486,PQ,false,66.0,100.0
487,PV,false,230.0,100.0
488,PQ,false,66.0,100.0
489,PQ,false,66.0,100.0
490,PQ,false,66.0,100.0
491,PV,false,66.0,100.0
492,PV,false,66.0,100.0
493,PQ,false,66.0,100.0
494,PQ,false,66.0,100.0
495,PQ,false,66.0,100.0
496,PQ,false,66.0,100.0
497,PQ,false,66.0,100.0
498,PQ,false,66.0,100.0
499,PQ,false,66.0,100.0
500,PQ,false,66.0,100.0
501,PQ,false,66.0,100.0
502,PQ,false,66.0,100.0
503,PV,false,66.0,100.0
504,PQ,false,66.0,100.0
505,PQ,false,66.0,100.0
506,PQ,false,66.0,100.0
507,PQ,false,66.0,100.0
508,PQ,false,66.0,100.0
509,PQ,false,66.0,100.0
510,PQ,false,66.0,100.0
511,PQ,false,66.0,100.0
512,PQ,false,66.0,100.0
513,PQ,false,66.0,100.0
514,PQ,false,66.0,100.0
515,PQ,false,66.0,100.0
516,PQ,false,66.0,100.0
517,PQ,false,66.0,100.0
518,PQ,false,66.0,100.0
519,PV,false,66.0,100.0
520,PQ,false,66.0,100.0
521,PQ,false,66.0,100.0
522,PQ,false,66.0,100.0
523,PV,false,66.0,100.0
524,PQ,false,66.0,100.0
525,PV,false,66.0,100.0
526,PQ,false,66.0,100.0
