scenario,bus,timepoint,load_MW
climate_1,1251,2035-01-01T20:00:00.000000-0800,30.129327206116216
climate_1,756,2035-01-01T23:00:00.000000-0800,0.3641956
climate_1,802,2035-01-01T18:00:00.000000-0800,29.56914597692046
climate_1,8646,2035-01-01T15:00:00.000000-0800,5.744298
climate_1,568,2035-01-01T13:00:00.000000-0800,1.1249110672507245
climate_1,436,2035-01-01T06:00:00.000000-0800,12.53138836075114
climate_1,1546,2035-01-01T04:00:00.000000-0800,2.831828319187788
climate_1,1313,2035-01-01T04:00:00.000000-0800,0.6319105409681328
climate_1,1437,2035-01-01T14:00:00.000000-0800,3.9986149165255886
climate_1,385,2035-01-01T22:00:00.000000-0800,27.149523140959005
climate_1,1214,2035-01-01T21:00:00.000000-0800,11.540722752957777
climate_1,1542,2035-01-01T02:00:00.000000-0800,0.42424677000000005
climate_1,72,2035-01-01T03:00:00.000000-0800,8.043529224668378
climate_1,1232,2035-01-01T13:00:00.000000-0800,4.78040895580438
climate_1,450,2035-01-01T10:00:00.000000-0800,16.20490400010523
climate_1,486,2035-01-01T19:00:00.000000-0800,9.68854160189736
climate_1,932,2035-01-01T23:00:00.000000-0800,8.94951571944606
climate_1,711,2035-01-01T18:00:00.000000-0800,35.77851394447589
climate_1,1760,2035-01-01T09:00:00.000000-0800,2.295992239264516
climate_1,720,2035-01-01T07:00:00.000000-0800,13.749703448041725
climate_1,599,2035-01-01T05:00:00.000000-0800,0.56525964
climate_1,1077,2035-01-01T05:00:00.000000-0800,27.980138987263032
climate_1,7732,2035-01-01T23:00:00.000000-0800,33.48493209793832
climate_1,7648,2035-01-01T20:00:00.000000-0800,35.247581710700054
climate_1,8561,2035-01-01T06:00:00.000000-0800,0.49610370000000004
climate_1,2134,2035-01-01T03:00:00.000000-0800,0.6866976320787918
climate_1,1747,2035-01-01T11:00:00.000000-0800,1.6879359
climate_1,1376,2035-01-01T04:00:00.000000-0800,4.2165951490718845
climate_1,605,2035-01-01T09:00:00.000000-0800,46.07957533300143
climate_1,1727,2035-01-01T08:00:00.000000-0800,0.04257099
climate_1,2117,2035-01-01T18:00:00.000000-0800,0.7063734111148523
climate_1,7821,2035-01-01T16:00:00.000000-0800,4.874096459550463
climate_1,1638,2035-01-01T05:00:00.000000-0800,2.8925015
climate_1,1071,2035-01-01T05:00:00.000000-0800,24.002464149838936
climate_1,8623,2035-01-01T11:00:00.000000-0800,0.20592069817872183
climate_1,1300,2035-01-01T10:00:00.000000-0800,0.7107849
climate_1,8228,2035-01-01T19:00:00.000000-0800,0.7023138
climate_1,1060,2035-01-01T14:00:00.000000-0800,21.361222272885712
climate_1,2207,2035-01-01T22:00:00.000000-0800,14.892130980356109
climate_1,1391,2035-01-01T00:00:00.000000-0800,7.550021882907583
climate_1,8575,2035-01-01T20:00:00.000000-0800,2.1685686
climate_1,1471,2035-01-01T22:00:00.000000-0800,0.26746556987068737
climate_1,298,2035-01-01T21:00:00.000000-0800,3.220854955386515
climate_1,586,2035-01-01T06:00:00.000000-0800,1.0491461275836684
climate_1,1111,2035-01-01T06:00:00.000000-0800,1.2200897
climate_1,8314,2035-01-01T23:00:00.000000-0800,1.8103807138740005
climate_1,1537,2035-01-01T04:00:00.000000-0800,15.944112535496442
climate_1,889,2035-01-01T05:00:00.000000-0800,7.5643948395326905
climate_1,898,2035-01-01T11:00:00.000000-0800,7.3284022696064275
climate_1,612,2035-01-01T01:00:00.000000-0800,15.46977295515813
climate_1,2377,2035-01-01T12:00:00.000000-0800,0.008250999
climate_1,200,2035-01-01T03:00:00.000000-0800,5.762395444547897
climate_1,637,2035-01-01T09:00:00.000000-0800,17.43516297210737
climate_1,242,2035-01-01T12:00:00.000000-0800,0.055767853000000006
climate_1,403,2035-01-01T18:00:00.000000-0800,13.254943189662496
climate_1,1865,2035-01-01T23:00:00.000000-0800,9.118691785553843
climate_1,2313,2035-01-01T17:00:00.000000-0800,0.33856523655423976
climate_1,55,2035-01-01T17:00:00.000000-0800,5.193849227780413
climate_1,553,2035-01-01T20:00:00.000000-0800,13.901498737115935
climate_1,8395,2035-01-01T02:00:00.000000-0800,6.610770967452357
climate_1,1555,2035-01-01T21:00:00.000000-0800,1.7333485690054315
climate_1,8773,2035-01-01T07:00:00.000000-0800,11.792555992163084
climate_1,1308,2035-01-01T02:00:00.000000-0800,2.8681585751635943
climate_1,1353,2035-01-01T00:00:00.000000-0800,4.743504855099789
climate_1,1005,2035-01-01T05:00:00.000000-0800,0.23646879845963314
climate_1,1279,2035-01-01T15:00:00.000000-0800,0.7343157
climate_1,541,2035-01-01T20:00:00.000000-0800,23.729312309105453
climate_1,544,2035-01-01T16:00:00.000000-0800,8.582516047242171
climate_1,756,2035-01-01T19:00:00.000000-0800,0.23406667
climate_1,7623,2035-01-01T14:00:00.000000-0800,2.1378132440136945
climate_1,463,2035-01-01T16:00:00.000000-0800,11.055525862004778
climate_1,1623,2035-01-01T11:00:00.000000-0800,25.52447856295855
climate_1,518,2035-01-01T07:00:00.000000-0800,78.09592959548934
climate_1,1115,2035-01-01T14:00:00.000000-0800,30.677663522122526
climate_1,1281,2035-01-01T02:00:00.000000-0800,4.139664378353279
climate_1,1431,2035-01-01T13:00:00.000000-0800,36.437339156561805
climate_1,507,2035-01-01T15:00:00.000000-0800,11.095230578713045
climate_1,1098,2035-01-01T10:00:00.000000-0800,0.8239186199652568
climate_1,1412,2035-01-01T23:00:00.000000-0800,0.6307029000000001
climate_1,1703,2035-01-01T01:00:00.000000-0800,4.424048452200043
climate_1,1903,2035-01-01T06:00:00.000000-0800,0.25830942392248224
climate_1,505,2035-01-01T19:00:00.000000-0800,30.12539055197906
climate_1,8000,2035-01-01T01:00:00.000000-0800,4.823044986117208
climate_1,8540,2035-01-01T08:00:00.000000-0800,29.11982608809332
climate_1,8195,2035-01-01T00:00:00.000000-0800,9.030919783055165
climate_1,7732,2035-01-01T12:00:00.000000-0800,25.932725070869644
climate_1,8176,2035-01-01T21:00:00.000000-0800,0.03355053095761691
climate_1,478,2035-01-01T07:00:00.000000-0800,11.602043971554014
climate_1,517,2035-01-01T02:00:00.000000-0800,7.675207274025017
climate_1,8571,2035-01-01T08:00:00.000000-0800,6.106165780518069
climate_1,2351,2035-01-01T17:00:00.000000-0800,1.1426771000000002
climate_1,2069,2035-01-01T00:00:00.000000-0800,4.155233512155548
climate_1,1694,2035-01-01T14:00:00.000000-0800,15.259198917162573
climate_1,1059,2035-01-01T17:00:00.000000-0800,46.66552466326015
climate_1,7698,2035-01-01T23:00:00.000000-0800,2.5088104727068212
climate_1,1439,2035-01-01T14:00:00.000000-0800,6.366756910652749
climate_1,1612,2035-01-01T16:00:00.000000-0800,52.12785670779887
climate_1,1798,2035-01-01T06:00:00.000000-0800,16.07219768669559
climate_1,2318,2035-01-01T00:00:00.000000-0800,42.466261273063964
climate_1,2279,2035-01-01T05:00:00.000000-0800,3.006802499740315
climate_1,2327,2035-01-01T17:00:00.000000-0800,0.20268623
climate_1,8415,2035-01-01T22:00:00.000000-0800,0.8496641713301408
climate_1,8492,2035-01-01T21:00:00.000000-0800,0.936717864348085
climate_1,20,2035-01-01T10:00:00.000000-0800,71.09288702886514
climate_1,456,2035-01-01T16:00:00.000000-0800,4.789306477124303
climate_1,306,2035-01-01T21:00:00.000000-0800,0.028878998
climate_1,2015,2035-01-01T21:00:00.000000-0800,4.397181987118301
climate_1,908,2035-01-01T11:00:00.000000-0800,14.768612638899079
climate_1,2118,2035-01-01T05:00:00.000000-0800,39.26087331866528
climate_1,2125,2035-01-01T08:00:00.000000-0800,20.658059617200692
climate_1,942,2035-01-01T19:00:00.000000-0800,3.376939526134805
climate_1,1005,2035-01-01T06:00:00.000000-0800,0.27049134630590116
climate_1,7845,2035-01-01T10:00:00.000000-0800,55.58498363224613
climate_1,1209,2035-01-01T01:00:00.000000-0800,9.058168015985514
climate_1,1161,2035-01-01T06:00:00.000000-0800,14.30819332664858
climate_1,180,2035-01-01T03:00:00.000000-0800,0.898768
