generator,timepoint,Dispatch_MW
cec23_794,2035-01-01T23:00:00.000000-0800,0.0
cec23_795,2035-01-01T00:00:00.000000-0800,0.0
cec23_795,2035-01-01T01:00:00.000000-0800,0.0
cec23_795,2035-01-01T02:00:00.000000-0800,0.0
cec23_795,2035-01-01T03:00:00.000000-0800,0.0
cec23_795,2035-01-01T04:00:00.000000-0800,0.0
cec23_795,2035-01-01T05:00:00.000000-0800,0.0
cec23_795,2035-01-01T06:00:00.000000-0800,0.0
cec23_795,2035-01-01T07:00:00.000000-0800,0.0
cec23_795,2035-01-01T08:00:00.000000-0800,0.0
cec23_795,2035-01-01T09:00:00.000000-0800,0.0
cec23_795,2035-01-01T10:00:00.000000-0800,0.0
cec23_795,2035-01-01T11:00:00.000000-0800,0.0
cec23_795,2035-01-01T12:00:00.000000-0800,0.0
cec23_795,2035-01-01T13:00:00.000000-0800,0.0
cec23_795,2035-01-01T14:00:00.000000-0800,0.0
cec23_795,2035-01-01T15:00:00.000000-0800,0.0
cec23_795,2035-01-01T16:00:00.000000-0800,0.0
cec23_795,2035-01-01T17:00:00.000000-0800,0.0
cec23_795,2035-01-01T18:00:00.000000-0800,0.0
cec23_795,2035-01-01T19:00:00.000000-0800,0.0
cec23_795,2035-01-01T20:00:00.000000-0800,0.0
cec23_795,2035-01-01T21:00:00.000000-0800,0.0
cec23_795,2035-01-01T22:00:00.000000-0800,0.0
cec23_795,2035-01-01T23:00:00.000000-0800,0.0
cec23_796,2035-01-01T00:00:00.000000-0800,0.0
cec23_796,2035-01-01T01:00:00.000000-0800,-1.2445252600193482e-16
cec23_796,2035-01-01T02:00:00.000000-0800,-3.207914279832518e-16
cec23_796,2035-01-01T03:00:00.000000-0800,-1.408079381200273e-16
cec23_796,2035-01-01T04:00:00.000000-0800,4.4120520163100463e-17
cec23_796,2035-01-01T05:00:00.000000-0800,5.841695069637291e-18
cec23_796,2035-01-01T06:00:00.000000-0800,-1.252588418107168e-16
cec23_796,2035-01-01T07:00:00.000000-0800,-2.1222532254442663e-16
cec23_796,2035-01-01T08:00:00.000000-0800,6.539905651547991e-17
cec23_796,2035-01-01T09:00:00.000000-0800,-2.0136739248203096e-17
cec23_796,2035-01-01T10:00:00.000000-0800,0.0
cec23_796,2035-01-01T11:00:00.000000-0800,7.881398062568687e-17
cec23_796,2035-01-01T12:00:00.000000-0800,-2.805327196238634e-16
cec23_796,2035-01-01T13:00:00.000000-0800,-1.8693551939525909e-16
cec23_796,2035-01-01T14:00:00.000000-0800,0.0
cec23_796,2035-01-01T15:00:00.000000-0800,5.028797550157339e-17
cec23_796,2035-01-01T16:00:00.000000-0800,9.947554932554503e-18
cec23_796,2035-01-01T17:00:00.000000-0800,-1.2444420125625009e-16
cec23_796,2035-01-01T18:00:00.000000-0800,1.2177517396967218e-16
cec23_796,2035-01-01T19:00:00.000000-0800,1.0942712766459899e-16
cec23_796,2035-01-01T20:00:00.000000-0800,-2.849166776087209e-16
cec23_796,2035-01-01T21:00:00.000000-0800,2.1510571102112408e-16
cec23_796,2035-01-01T22:00:00.000000-0800,-2.219463292508151e-16
cec23_796,2035-01-01T23:00:00.000000-0800,4.181090947012175e-17
cec23_797,2035-01-01T00:00:00.000000-0800,0.0
cec23_797,2035-01-01T01:00:00.000000-0800,1.768134955279049e-18
cec23_797,2035-01-01T02:00:00.000000-0800,0.0
cec23_797,2035-01-01T03:00:00.000000-0800,0.0
cec23_797,2035-01-01T04:00:00.000000-0800,-6.776263578034403e-21
cec23_797,2035-01-01T05:00:00.000000-0800,0.0
cec23_797,2035-01-01T06:00:00.000000-0800,0.0
cec23_797,2035-01-01T07:00:00.000000-0800,-6.617444900424222e-24
cec23_797,2035-01-01T08:00:00.000000-0800,0.0
cec23_797,2035-01-01T09:00:00.000000-0800,-6.617444900424222e-24
cec23_797,2035-01-01T10:00:00.000000-0800,0.0
cec23_797,2035-01-01T11:00:00.000000-0800,0.0
cec23_797,2035-01-01T12:00:00.000000-0800,6.617444900424222e-24
cec23_797,2035-01-01T13:00:00.000000-0800,6.617444900424222e-24
cec23_797,2035-01-01T14:00:00.000000-0800,-6.617444900424222e-24
cec23_797,2035-01-01T15:00:00.000000-0800,0.0
cec23_797,2035-01-01T16:00:00.000000-0800,0.0
cec23_797,2035-01-01T17:00:00.000000-0800,6.617444900424222e-24
