generator,scenario,Capacity_MW
1149,sc1,0.64646087
1150,sc1,0.64646087
1151,sc1,0.64646087
1152,sc1,0.64646087
1153,sc1,0.64646087
1154,sc1,0.64646087
1155,sc1,0.64646087
1156,sc1,0.64646087
1157,sc1,0.64646087
1158,sc1,0.64646087
1159,sc1,0.64646087
1160,sc1,0.64646087
1161,sc1,0.64646087
1162,sc1,0.64646087
1163,sc1,0.64646087
1164,sc1,207.0
1165,sc1,207.0
1166,sc1,207.0
1167,sc1,207.0
1168,sc1,150.0
1169,sc1,150.0
1170,sc1,150.0
1171,sc1,102.0
1172,sc1,168.0
1173,sc1,85.3328348
1174,sc1,8.0
1175,sc1,6.5
1176,sc1,12.9292174
1177,sc1,2.84442783
1178,sc1,1.42221391
1179,sc1,1.68079826
1180,sc1,1.29292174
1181,sc1,1.55150609
1182,sc1,1.55150609
1183,sc1,9.69691305
1184,sc1,181.009044
1185,sc1,181.009044
1186,sc1,181.009044
1187,sc1,7.75753044
1188,sc1,25.8584348
1189,sc1,24.5655131
1190,sc1,2.2
1191,sc1,2.2
1192,sc1,327.1092
1193,sc1,161.615218
1194,sc1,161.615218
1195,sc1,1.29292174
1196,sc1,41.7613722
1197,sc1,27.1513565
1198,sc1,111.837731
1199,sc1,90.5045218
1200,sc1,51.7168696
1201,sc1,0.64646087
1202,sc1,0.64646087
1203,sc1,0.64646087
1204,sc1,0.64646087
1205,sc1,0.64646087
1206,sc1,0.64646087
1207,sc1,0.64646087
1208,sc1,0.64646087
1209,sc1,0.64646087
1210,sc1,0.64646087
1211,sc1,33.6159652
1212,sc1,49.0
1213,sc1,0.1
1214,sc1,0.1
1215,sc1,0.1
1216,sc1,0.1
1217,sc1,0.1
1218,sc1,0.1
1219,sc1,0.1
1220,sc1,0.1
1221,sc1,0.1
1222,sc1,0.1
1223,sc1,0.1
1224,sc1,55.0
1225,sc1,100.0
1226,sc1,100.0
1227,sc1,100.0
1228,sc1,100.0
1229,sc1,100.0
1230,sc1,100.0
1231,sc1,100.0
1232,sc1,100.0
1233,sc1,49.9
1234,sc1,49.9
1235,sc1,49.9
1236,sc1,49.9
1237,sc1,189.0
1238,sc1,166.657612
1239,sc1,192.257463
1240,sc1,25.8584348
1241,sc1,19.3938261
1242,sc1,19.3938261
1243,sc1,1.29292174
1244,sc1,100.0
1245,sc1,100.0
1246,sc1,100.0
1247,sc1,100.0
1248,sc1,100.0
1249,sc1,25.8584348
1250,sc1,25.8584348
1251,sc1,0.64646087
1252,sc1,0.64646087
1253,sc1,0.64646087
1254,sc1,0.64646087
1255,sc1,0.64646087
1256,sc1,1.4
1257,sc1,131.8
1258,sc1,131.8
1259,sc1,131.8
