timepoint,site,capacity_factor,technology,scenario
2035-01-01T00:00:00.000000-0800,pvu208,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu209,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu210,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu211,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu212,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu213,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu214,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu215,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu216,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu217,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu218,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu219,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu220,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu221,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu222,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu223,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu224,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu225,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu226,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu227,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu228,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu229,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu230,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu231,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu232,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu233,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu234,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu235,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu236,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu237,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu238,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu239,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu240,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu241,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu242,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu243,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu244,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu245,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu246,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu247,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu248,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu249,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu250,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu251,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu252,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu253,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu254,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu255,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu256,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu257,0,solar photovoltaic,sc1
2035-01-01T00:00:00.000000-0800,pvu258,0,solar photovoltaic,sc1
